,ident,it,t,a(i),emegas(i),emepla(i)/emet,rplanet(i)/radtie,emestar,rc,qest,sigmag_0,emed,gama,apert,fpert,constmigI,emetal,taugas
57,5,199800,20000001.0,4.700156537943933,0.005315737472607075,2.2510626635031015,   1.9985320551327792      ,2.150538206100464e+33,38.9774284362793,5.4648308753967285,102.43159343125014,0.11,1.0,0.30000001192092896,1.0,0.1,-0.1501600593328476,1014449.0625
58,5,199800,20000001.0,5.239660341621495,0.0,0.917589608148958,   1.4867574978516664      ,2.150538206100464e+33,38.9774284362793,5.4648308753967285,102.43159343125014,0.11,1.0,0.30000001192092896,1.0,0.1,-0.1501600593328476,1014449.0625
59,5,199800,20000001.0,6.007800906908035,0.0,1.4062189174234732,   1.7144358333597405      ,2.150538206100464e+33,38.9774284362793,5.4648308753967285,102.43159343125014,0.11,1.0,0.30000001192092896,1.0,0.1,-0.1501600593328476,1014449.0625
60,5,199800,20000001.0,6.807338923794989,0.0,0.5708806454430103,   1.2743338515013307      ,2.150538206100464e+33,38.9774284362793,5.4648308753967285,102.43159343125014,0.11,1.0,0.30000001192092896,1.0,0.1,-0.1501600593328476,1014449.0625
61,5,199800,20000001.0,7.625644621086269,0.0,0.5573282261537428,   1.2632377776715829      ,2.150538206100464e+33,38.9774284362793,5.4648308753967285,102.43159343125014,0.11,1.0,0.30000001192092896,1.0,0.1,-0.1501600593328476,1014449.0625
62,5,199800,20000001.0,8.173992144683275,0.0,0.10386326151334972,  0.72282613227357839      ,2.150538206100464e+33,38.9774284362793,5.4648308753967285,102.43159343125014,0.11,1.0,0.30000001192092896,1.0,0.1,-0.1501600593328476,1014449.0625
63,5,199800,20000001.0,8.549491014514246,0.0,0.09405114893913954,  0.69958350390508717      ,2.150538206100464e+33,38.9774284362793,5.4648308753967285,102.43159343125014,0.11,1.0,0.30000001192092896,1.0,0.1,-0.1501600593328476,1014449.0625
64,5,199800,20000001.0,9.121645539467858,0.0,0.2788096576298651,   1.0046987029306913      ,2.150538206100464e+33,38.9774284362793,5.4648308753967285,102.43159343125014,0.11,1.0,0.30000001192092896,1.0,0.1,-0.1501600593328476,1014449.0625
65,5,199800,20000001.0,9.930487855078391,0.0,0.07991632512119597,  0.66260727290605936      ,2.150538206100464e+33,38.9774284362793,5.4648308753967285,102.43159343125014,0.11,1.0,0.30000001192092896,1.0,0.1,-0.1501600593328476,1014449.0625
66,6,199902,20000001.0,1.07302603079053,2934.3870747001674,2944.097744092878,   3.2855124772482318      ,1.7231897115707396e+33,47.34337997436523,4.412694454193115,75.74087794063331,0.12,1.0,0.30000001192092896,1.0,0.1,0.021272709593176842,1790533.125
67,6,199902,20000001.0,6.108184737074596,0.0,2.7471095827634584,   2.1501440965330487      ,1.7231897115707396e+33,47.34337997436523,4.412694454193115,75.74087794063331,0.12,1.0,0.30000001192092896,1.0,0.1,0.021272709593176842,1790533.125
68,6,199902,20000001.0,7.034450973273262,0.0,2.3637489199344475,   2.0433939877716618      ,1.7231897115707396e+33,47.34337997436523,4.412694454193115,75.74087794063331,0.12,1.0,0.30000001192092896,1.0,0.1,0.021272709593176842,1790533.125
69,6,199902,20000001.0,8.003454250605923,0.0,0.6081897511977984,   1.3023835656795966      ,1.7231897115707396e+33,47.34337997436523,4.412694454193115,75.74087794063331,0.12,1.0,0.30000001192092896,1.0,0.1,0.021272709593176842,1790533.125
70,6,199902,20000001.0,9.230890341176671,0.0,1.8953189678531133,   1.9025069541265269      ,1.7231897115707396e+33,47.34337997436523,4.412694454193115,75.74087794063331,0.12,1.0,0.30000001192092896,1.0,0.1,0.021272709593176842,1790533.125
71,6,199902,20000001.0,10.76785531721099,0.0,0.1057151592576991,  0.72789988350503654      ,1.7231897115707396e+33,47.34337997436523,4.412694454193115,75.74087794063331,0.12,1.0,0.30000001192092896,1.0,0.1,0.021272709593176842,1790533.125
72,6,199902,20000001.0,11.469415830622662,0.0,0.3298504642774617,   1.0635181097734756      ,1.7231897115707396e+33,47.34337997436523,4.412694454193115,75.74087794063331,0.12,1.0,0.30000001192092896,1.0,0.1,0.021272709593176842,1790533.125
73,6,199902,20000001.0,12.244442647512528,0.0,0.14899171094196006,  0.81606790502980087      ,1.7231897115707396e+33,47.34337997436523,4.412694454193115,75.74087794063331,0.12,1.0,0.30000001192092896,1.0,0.1,0.021272709593176842,1790533.125
74,6,199902,20000001.0,14.734347150491704,0.0,0.06348362589045262,  0.61442569116195833      ,1.7231897115707396e+33,47.34337997436523,4.412694454193115,75.74087794063331,0.12,1.0,0.30000001192092896,1.0,0.1,0.021272709593176842,1790533.125
75,7,199958,20000001.0,0.04926655708924501,11110.513057035263,11114.251026231694,   2.5803233507330043      ,1.6844226121902464e+33,42.73906326293945,2.7166733741760254,139.4087765353593,0.18,1.0,0.30000001192092896,1.0,0.1,-0.09257139265537262,2721394.75
76,7,199958,20000001.0,0.6718291793284992,0.6122073023093535,4.452166711885108,   2.3988281824954290      ,1.6844226121902464e+33,42.73906326293945,2.7166733741760254,139.4087765353593,0.18,1.0,0.30000001192092896,1.0,0.1,-0.09257139265537262,2721394.75
77,7,199958,20000001.0,1.4288101477773212,1116.0575160468527,1121.0202194416215,   2.6346334376065870      ,1.6844226121902464e+33,42.73906326293945,2.7166733741760254,139.4087765353593,0.18,1.0,0.30000001192092896,1.0,0.1,-0.09257139265537262,2721394.75
78,7,199958,20000001.0,10.8934818860206,0.0,2.6635195150495083,   2.1325831892401692      ,1.6844226121902464e+33,42.73906326293945,2.7166733741760254,139.4087765353593,0.18,1.0,0.30000001192092896,1.0,0.1,-0.09257139265537262,2721394.75
79,7,199958,20000001.0,12.681735913086758,0.0,0.8089895993196501,   1.4338402728488790      ,1.6844226121902464e+33,42.73906326293945,2.7166733741760254,139.4087765353593,0.18,1.0,0.30000001192092896,1.0,0.1,-0.09257139265537262,2721394.75
80,7,199958,20000001.0,13.75434148353336,0.0,0.3476663809641999,   1.0827629887877905      ,1.6844226121902464e+33,42.73906326293945,2.7166733741760254,139.4087765353593,0.18,1.0,0.30000001192092896,1.0,0.1,-0.09257139265537262,2721394.75
81,7,199958,20000001.0,17.1049875092314,0.0,0.08571585781414373,  0.67917128570964669      ,1.6844226121902464e+33,42.73906326293945,2.7166733741760254,139.4087765353593,0.18,1.0,0.30000001192092896,1.0,0.1,-0.09257139265537262,2721394.75
82,7,199958,20000001.0,19.033484422800253,0.0,0.060132798208023926,  0.60357894812804869      ,1.6844226121902464e+33,42.73906326293945,2.7166733741760254,139.4087765353593,0.18,1.0,0.30000001192092896,1.0,0.1,-0.09257139265537262,2721394.75
83,8,198952,20000001.0,4.0234845677307085,0.0,3.4642998909676623,   2.3270546208849745      ,2.1533169746398925e+33,58.15892791748047,4.704798221588135,62.73733748351793,0.15,1.0,0.30000001192092896,1.0,0.1,-0.282408207654953,6017040.5
84,8,198952,20000001.0,7.972279381248237,0.0,1.7666971811660894,   1.8601896680686156      ,2.1533169746398925e+33,58.15892791748047,4.704798221588135,62.73733748351793,0.15,1.0,0.30000001192092896,1.0,0.1,-0.282408207654953,6017040.5
85,8,198952,20000001.0,9.813467711178525,0.0,0.4754416104146371,   1.2015814708348032      ,2.1533169746398925e+33,58.15892791748047,4.704798221588135,62.73733748351793,0.15,1.0,0.30000001192092896,1.0,0.1,-0.282408207654953,6017040.5
86,8,198952,20000001.0,10.4608076625063,0.0,0.5833123682415008,   1.2867275802931770      ,2.1533169746398925e+33,58.15892791748047,4.704798221588135,62.73733748351793,0.15,1.0,0.30000001192092896,1.0,0.1,-0.282408207654953,6017040.5
87,8,198952,20000001.0,11.326782751902176,0.0,0.6883816113570571,   1.3594563735747629      ,2.1533169746398925e+33,58.15892791748047,4.704798221588135,62.73733748351793,0.15,1.0,0.30000001192092896,1.0,0.1,-0.282408207654953,6017040.5
88,8,198952,20000001.0,12.601462296070919,0.0,0.38766933540454024,   1.1229281513223290      ,2.1533169746398925e+33,58.15892791748047,4.704798221588135,62.73733748351793,0.15,1.0,0.30000001192092896,1.0,0.1,-0.282408207654953,6017040.5
89,8,198952,20000001.0,14.15873588547019,0.0,0.14097919844880405,  0.80180163789222936      ,2.1533169746398925e+33,58.15892791748047,4.704798221588135,62.73733748351793,0.15,1.0,0.30000001192092896,1.0,0.1,-0.282408207654953,6017040.5
90,8,198952,20000001.0,14.824021183292267,0.0,0.31549603752614364,   1.0487012383780956      ,2.1533169746398925e+33,58.15892791748047,4.704798221588135,62.73733748351793,0.15,1.0,0.30000001192092896,1.0,0.1,-0.282408207654953,6017040.5
91,8,198952,20000001.0,16.30166612919443,0.0,0.06218478749651121,  0.61040468100760759      ,2.1533169746398925e+33,58.15892791748047,4.704798221588135,62.73733748351793,0.15,1.0,0.30000001192092896,1.0,0.1,-0.282408207654953,6017040.5
113,12,199328,20000001.0,2.5018442786126505,0.013065438290395262,2.2187282374380044,   1.9797694738238918      ,1.590925931930542e+33,54.82128143310546,2.6545302867889404,89.43815763475,0.19,1.0,0.30000001192092896,1.0,0.1,-0.3862534761428833,1458284.5
114,12,199328,20000001.0,4.364383740708494,0.0,2.1586998507376003,   1.9768600062996458      ,1.590925931930542e+33,54.82128143310546,2.6545302867889404,89.43815763475,0.19,1.0,0.30000001192092896,1.0,0.1,-0.3862534761428833,1458284.5
115,12,199328,20000001.0,5.154943037033289,0.0,0.9840109161693033,   1.5253127813849292      ,1.590925931930542e+33,54.82128143310546,2.6545302867889404,89.43815763475,0.19,1.0,0.30000001192092896,1.0,0.1,-0.3862534761428833,1458284.5
116,12,199328,20000001.0,7.704616947247173,0.0,0.28566448355081914,   1.0124908481305339      ,1.590925931930542e+33,54.82128143310546,2.6545302867889404,89.43815763475,0.19,1.0,0.30000001192092896,1.0,0.1,-0.3862534761428833,1458284.5
117,12,199328,20000001.0,8.595182757878668,0.0,0.06520583307755765,  0.61950556094665632      ,1.590925931930542e+33,54.82128143310546,2.6545302867889404,89.43815763475,0.19,1.0,0.30000001192092896,1.0,0.1,-0.3862534761428833,1458284.5
118,12,199328,20000001.0,9.463614418002244,0.0,0.17426390615268011,  0.85945480076450453      ,1.590925931930542e+33,54.82128143310546,2.6545302867889404,89.43815763475,0.19,1.0,0.30000001192092896,1.0,0.1,-0.3862534761428833,1458284.5
119,12,199328,20000001.0,10.053955657237509,0.0,0.10258959020973674,  0.72048102593518215      ,1.590925931930542e+33,54.82128143310546,2.6545302867889404,89.43815763475,0.19,1.0,0.30000001192092896,1.0,0.1,-0.3862534761428833,1458284.5
120,12,199328,20000001.0,11.85066766168693,0.0,0.05196765314707245,  0.57460407169646521      ,1.590925931930542e+33,54.82128143310546,2.6545302867889404,89.43815763475,0.19,1.0,0.30000001192092896,1.0,0.1,-0.3862534761428833,1458284.5
121,13,199905,20000001.0,3.3813881600100824,10.103810975704642,15.624051733831667,   2.7145280533280345      ,2.4128897190093996e+33,36.67222213745117,3.998512744903565,178.83070031517818,0.17,1.0,0.30000001192092896,1.0,0.1,-0.17403939366340634,3956707.5
122,13,199905,20000001.0,8.450289824946905,0.0,3.5255510475830047,   2.3402404017432361      ,2.4128897190093996e+33,36.67222213745117,3.998512744903565,178.83070031517818,0.17,1.0,0.30000001192092896,1.0,0.1,-0.17403939366340634,3956707.5
123,13,199905,20000001.0,10.80918465604002,0.0,1.981781711423848,   1.9323451464225281      ,2.4128897190093996e+33,36.67222213745117,3.998512744903565,178.83070031517818,0.17,1.0,0.30000001192092896,1.0,0.1,-0.17403939366340634,3956707.5
124,13,199905,20000001.0,13.006829320059389,0.0,0.5881377011493689,   1.2898140088476839      ,2.4128897190093996e+33,36.67222213745117,3.998512744903565,178.83070031517818,0.17,1.0,0.30000001192092896,1.0,0.1,-0.17403939366340634,3956707.5
125,13,199905,20000001.0,13.728485119938778,0.0,0.5052821258255862,   1.2263386089430295      ,2.4128897190093996e+33,36.67222213745117,3.998512744903565,178.83070031517818,0.17,1.0,0.30000001192092896,1.0,0.1,-0.17403939366340634,3956707.5
126,13,199905,20000001.0,15.685987841030974,0.0,0.563295347210603,   1.2715918026725377      ,2.4128897190093996e+33,36.67222213745117,3.998512744903565,178.83070031517818,0.17,1.0,0.30000001192092896,1.0,0.1,-0.17403939366340634,3956707.5
