,ident,it,t,a(i),emegas(i),emepla(i)/emet,rplanet(i)/radtie,emestar,rc,qest,sigmag_0,emed,gama,apert,fpert,constmigI,emetal,taugas
56,5,199510,20000001.0,8.367469511449391,0.0,0.14777024840088035,  0.81275635886963904      ,2.150538206100464e+33,38.9774284362793,5.4648308753967285,102.43159343125014,0.11,1.0,0.0,1.0,0.1,-0.1501600593328476,1014449.0625
57,5,199510,20000001.0,9.05008879738032,0.0,0.08950910624901852,  0.68802058016426637      ,2.150538206100464e+33,38.9774284362793,5.4648308753967285,102.43159343125014,0.11,1.0,0.0,1.0,0.1,-0.1501600593328476,1014449.0625
58,5,199510,20000001.0,9.942506540540803,0.0,0.08014958471921502,  0.66338421738110565      ,2.150538206100464e+33,38.9774284362793,5.4648308753967285,102.43159343125014,0.11,1.0,0.0,1.0,0.1,-0.1501600593328476,1014449.0625
59,6,199767,20000001.0,0.06104291981653764,1190.2484244877967,1202.3228452882274,   3.3802117221966559      ,1.7231897115707396e+33,47.34337997436523,4.412694454193115,75.74087794063331,0.12,1.0,0.0,1.0,0.1,0.021272709593176842,1790533.125
60,6,199767,20000001.0,0.752113737580108,2.163618022858409,6.221435025244416,   2.4243863302177471      ,1.7231897115707396e+33,47.34337997436523,4.412694454193115,75.74087794063331,0.12,1.0,0.0,1.0,0.1,0.021272709593176842,1790533.125
61,6,199767,20000001.0,3.8242340047439103,1.574148086623668,6.615409362071966,   2.6155578494589564      ,1.7231897115707396e+33,47.34337997436523,4.412694454193115,75.74087794063331,0.12,1.0,0.0,1.0,0.1,0.021272709593176842,1790533.125
62,6,199767,20000001.0,4.593335070462178,0.20637430790556874,4.429165357943209,   2.4741849816405304      ,1.7231897115707396e+33,47.34337997436523,4.412694454193115,75.74087794063331,0.12,1.0,0.0,1.0,0.1,0.021272709593176842,1790533.125
63,6,199767,20000001.0,6.039790363874616,0.0,2.7424662151458463,   2.1457640656009609      ,1.7231897115707396e+33,47.34337997436523,4.412694454193115,75.74087794063331,0.12,1.0,0.0,1.0,0.1,0.021272709593176842,1790533.125
64,6,199767,20000001.0,6.828794552260093,0.0,2.7838541102487877,   2.1585419863204387      ,1.7231897115707396e+33,47.34337997436523,4.412694454193115,75.74087794063331,0.12,1.0,0.0,1.0,0.1,0.021272709593176842,1790533.125
65,6,199767,20000001.0,7.9663350004542846,0.0,1.4511558823482171,   1.7396821994160856      ,1.7231897115707396e+33,47.34337997436523,4.412694454193115,75.74087794063331,0.12,1.0,0.0,1.0,0.1,0.021272709593176842,1790533.125
66,6,199767,20000001.0,9.58646696863747,0.0,1.0225182651820497,   1.5491610913306351      ,1.7231897115707396e+33,47.34337997436523,4.412694454193115,75.74087794063331,0.12,1.0,0.0,1.0,0.1,0.021272709593176842,1790533.125
67,6,199767,20000001.0,10.745455514193619,0.0,0.1670392105138468,  0.84748381193620104      ,1.7231897115707396e+33,47.34337997436523,4.412694454193115,75.74087794063331,0.12,1.0,0.0,1.0,0.1,0.021272709593176842,1790533.125
68,6,199767,20000001.0,11.228785088525186,0.0,0.17254377360219028,  0.85694006581529836      ,1.7231897115707396e+33,47.34337997436523,4.412694454193115,75.74087794063331,0.12,1.0,0.0,1.0,0.1,0.021272709593176842,1790533.125
69,6,199767,20000001.0,12.17452256376428,0.0,0.1556751771706344,  0.82816960649561699      ,1.7231897115707396e+33,47.34337997436523,4.412694454193115,75.74087794063331,0.12,1.0,0.0,1.0,0.1,0.021272709593176842,1790533.125
70,6,199767,20000001.0,12.731256304413348,0.0,0.06568614174278935,  0.62130956399576731      ,1.7231897115707396e+33,47.34337997436523,4.412694454193115,75.74087794063331,0.12,1.0,0.0,1.0,0.1,0.021272709593176842,1790533.125
71,7,199928,20000001.0,1.3245721125326109,1991.7094031863512,1996.7377797252923,   2.6611523448884018      ,1.6844226121902464e+33,42.73906326293945,2.7166733741760254,139.4087765353593,0.18,1.0,0.0,1.0,0.1,-0.09257139265537262,2721394.75
72,7,199928,20000001.0,3.9745264192891856,0.3761961451611653,5.337208078914952,   2.6153394057858366      ,1.6844226121902464e+33,42.73906326293945,2.7166733741760254,139.4087765353593,0.18,1.0,0.0,1.0,0.1,-0.09257139265537262,2721394.75
73,7,199928,20000001.0,5.482550433033204,0.0,3.9504233403818905,   2.4270217622813357      ,1.6844226121902464e+33,42.73906326293945,2.7166733741760254,139.4087765353593,0.18,1.0,0.0,1.0,0.1,-0.09257139265537262,2721394.75
74,7,199928,20000001.0,10.605138757824331,0.0,1.339026740805248,   1.6954439359899385      ,1.6844226121902464e+33,42.73906326293945,2.7166733741760254,139.4087765353593,0.18,1.0,0.0,1.0,0.1,-0.09257139265537262,2721394.75
75,7,199928,20000001.0,11.538109846012745,0.0,1.0553397370951785,   1.5666118797110320      ,1.6844226121902464e+33,42.73906326293945,2.7166733741760254,139.4087765353593,0.18,1.0,0.0,1.0,0.1,-0.09257139265537262,2721394.75
76,7,199928,20000001.0,14.09499076689672,0.0,0.4140835729173975,   1.1476046157068571      ,1.6844226121902464e+33,42.73906326293945,2.7166733741760254,139.4087765353593,0.18,1.0,0.0,1.0,0.1,-0.09257139265537262,2721394.75
77,7,199928,20000001.0,15.772262074862,0.0,0.1700884792006305,  0.85331233161858644      ,1.6844226121902464e+33,42.73906326293945,2.7166733741760254,139.4087765353593,0.18,1.0,0.0,1.0,0.1,-0.09257139265537262,2721394.75
78,7,199928,20000001.0,16.652338081547136,0.0,0.1460021154303026,  0.81101191950270668      ,1.6844226121902464e+33,42.73906326293945,2.7166733741760254,139.4087765353593,0.18,1.0,0.0,1.0,0.1,-0.09257139265537262,2721394.75
79,7,199928,20000001.0,17.271869707903097,0.0,0.07594010222418521,  0.65229130138486502      ,1.6844226121902464e+33,42.73906326293945,2.7166733741760254,139.4087765353593,0.18,1.0,0.0,1.0,0.1,-0.09257139265537262,2721394.75
80,7,199928,20000001.0,17.845138191289244,0.0,0.06149858789303469,  0.60803952924063942      ,1.6844226121902464e+33,42.73906326293945,2.7166733741760254,139.4087765353593,0.18,1.0,0.0,1.0,0.1,-0.09257139265537262,2721394.75
81,8,199039,20000001.0,0.0811342799909038,0.012959550278792935,2.1179218228100374,   1.9643971744289133      ,2.1533169746398925e+33,58.15892791748047,4.704798221588135,62.73733748351793,0.15,1.0,0.0,1.0,0.1,-0.282408207654953,6017040.5
82,8,199039,20000001.0,5.545338134554464,0.0,2.2754990526838634,   2.0232957285249817      ,2.1533169746398925e+33,58.15892791748047,4.704798221588135,62.73733748351793,0.15,1.0,0.0,1.0,0.1,-0.282408207654953,6017040.5
83,8,199039,20000001.0,6.7821828985443195,0.0,1.854786930181578,   1.8904359803574651      ,2.1533169746398925e+33,58.15892791748047,4.704798221588135,62.73733748351793,0.15,1.0,0.0,1.0,0.1,-0.282408207654953,6017040.5
84,8,199039,20000001.0,9.390567328443684,0.0,1.2369038277949491,   1.6524212963754319      ,2.1533169746398925e+33,58.15892791748047,4.704798221588135,62.73733748351793,0.15,1.0,0.0,1.0,0.1,-0.282408207654953,6017040.5
85,8,199039,20000001.0,13.209273051202212,0.0,0.22212285900570405,  0.93286210603063935      ,2.1533169746398925e+33,58.15892791748047,4.704798221588135,62.73733748351793,0.15,1.0,0.0,1.0,0.1,-0.282408207654953,6017040.5
86,8,199039,20000001.0,14.238071453820147,0.0,0.15033475499982552,  0.81909037596443235      ,2.1533169746398925e+33,58.15892791748047,4.704798221588135,62.73733748351793,0.15,1.0,0.0,1.0,0.1,-0.282408207654953,6017040.5
87,8,199039,20000001.0,15.300571346727759,0.0,0.14069647939021085,  0.80128250143343305      ,2.1533169746398925e+33,58.15892791748047,4.704798221588135,62.73733748351793,0.15,1.0,0.0,1.0,0.1,-0.282408207654953,6017040.5
88,8,199039,20000001.0,16.750508320521785,0.0,0.07343064717600782,  0.64521346375751643      ,2.1533169746398925e+33,58.15892791748047,4.704798221588135,62.73733748351793,0.15,1.0,0.0,1.0,0.1,-0.282408207654953,6017040.5
89,8,199039,20000001.0,17.535804851347965,0.0,0.0817256578797237,  0.66866444664764091      ,2.1533169746398925e+33,58.15892791748047,4.704798221588135,62.73733748351793,0.15,1.0,0.0,1.0,0.1,-0.282408207654953,6017040.5
118,12,199036,20000001.0,1.2147379763451842,0.0012277517853302605,1.3663542132766573,   1.6751629366330252      ,1.590925931930542e+33,54.82128143310546,2.6545302867889404,89.43815763475,0.19,1.0,0.0,1.0,0.1,-0.3862534761428833,1458284.5
119,12,199036,20000001.0,3.2942630634705994,0.0009531713336284881,1.9442991156297904,   1.9055598241445306      ,1.590925931930542e+33,54.82128143310546,2.6545302867889404,89.43815763475,0.19,1.0,0.0,1.0,0.1,-0.3862534761428833,1458284.5
120,12,199036,20000001.0,4.31211646232471,0.0,1.7002551871775844,   1.8271262075770791      ,1.590925931930542e+33,54.82128143310546,2.6545302867889404,89.43815763475,0.19,1.0,0.0,1.0,0.1,-0.3862534761428833,1458284.5
121,12,199036,20000001.0,5.152776027357298,0.0,1.195174394505758,   1.6265409252967271      ,1.590925931930542e+33,54.82128143310546,2.6545302867889404,89.43815763475,0.19,1.0,0.0,1.0,0.1,-0.3862534761428833,1458284.5
122,12,199036,20000001.0,5.580646316682324,0.0,1.0338072387414594,   1.5506658945071357      ,1.590925931930542e+33,54.82128143310546,2.6545302867889404,89.43815763475,0.19,1.0,0.0,1.0,0.1,-0.3862534761428833,1458284.5
