,ident,it,t,a(i),emegas(i),emepla(i)/emet,rplanet(i)/radtie,emestar,rc,qest,sigmag_0,emed,gama,apert,fpert,constmigI,emetal,taugas
6582,532,198954,20000001.0,14.477471879987332,0.0,0.20479057081325847,  0.90798137080410934      ,2.158964157104492e+33,58.24328994750977,5.242074489593506,54.21496280252062,0.13,1.0,0.10000000149011612,1.0,0.1,-0.1089569330215454,4509588.0
6583,532,198954,20000001.0,15.473718014660456,0.0,0.2029964737500986,  0.90536718870403354      ,2.158964157104492e+33,58.24328994750977,5.242074489593506,54.21496280252062,0.13,1.0,0.10000000149011612,1.0,0.1,-0.1089569330215454,4509588.0
6584,532,198954,20000001.0,16.178845541082172,0.0,0.08393762866978674,  0.67453099598172317      ,2.158964157104492e+33,58.24328994750977,5.242074489593506,54.21496280252062,0.13,1.0,0.10000000149011612,1.0,0.1,-0.1089569330215454,4509588.0
6586,534,199735,20000001.0,0.052438245937842395,0.42508108788923415,3.9189820726196554,  0.24769824944992572      ,1.7311731576919556e+33,47.77269744873047,7.775408267974853,41.53200367149934,0.067,1.0,0.10000000149011612,1.0,0.1,0.2502436041831971,1282363.125
6587,534,199735,20000001.0,0.7214385004750109,0.06954267699293903,2.695305776402236,   2.0268923911502230      ,1.7311731576919556e+33,47.77269744873047,7.775408267974853,41.53200367149934,0.067,1.0,0.10000000149011612,1.0,0.1,0.2502436041831971,1282363.125
6588,534,199735,20000001.0,1.0601745852781268,0.1031097925090902,2.910733926187359,   2.0949366078538620      ,1.7311731576919556e+33,47.77269744873047,7.775408267974853,41.53200367149934,0.067,1.0,0.10000000149011612,1.0,0.1,0.2502436041831971,1282363.125
6589,534,199735,20000001.0,1.7729652269717089,743.5399444342102,749.7298033368995,   2.7941238157262185      ,1.7311731576919556e+33,47.77269744873047,7.775408267974853,41.53200367149934,0.067,1.0,0.10000000149011612,1.0,0.1,0.2502436041831971,1282363.125
6590,534,199735,20000001.0,4.424991661320327,0.14909067592060338,3.829269073680956,   2.3573670668283899      ,1.7311731576919556e+33,47.77269744873047,7.775408267974853,41.53200367149934,0.067,1.0,0.10000000149011612,1.0,0.1,0.2502436041831971,1282363.125
6591,534,199735,20000001.0,5.291699394513822,0.11685237005943865,3.7038911824165455,   2.3428957569684932      ,1.7311731576919556e+33,47.77269744873047,7.775408267974853,41.53200367149934,0.067,1.0,0.10000000149011612,1.0,0.1,0.2502436041831971,1282363.125
6592,534,199735,20000001.0,6.138680498549734,0.0,1.6240331859663686,   1.8024454966217645      ,1.7311731576919556e+33,47.77269744873047,7.775408267974853,41.53200367149934,0.067,1.0,0.10000000149011612,1.0,0.1,0.2502436041831971,1282363.125
6593,534,199735,20000001.0,7.056384019292694,0.0,0.4967500800421039,   1.2168694316990509      ,1.7311731576919556e+33,47.77269744873047,7.775408267974853,41.53200367149934,0.067,1.0,0.10000000149011612,1.0,0.1,0.2502436041831971,1282363.125
6594,534,199735,20000001.0,7.638007676337764,0.0,0.3485543874916471,   1.0814519364375006      ,1.7311731576919556e+33,47.77269744873047,7.775408267974853,41.53200367149934,0.067,1.0,0.10000000149011612,1.0,0.1,0.2502436041831971,1282363.125
6595,534,199735,20000001.0,8.079789848406731,0.0,0.19553528034525347,  0.89259937737985418      ,1.7311731576919556e+33,47.77269744873047,7.775408267974853,41.53200367149934,0.067,1.0,0.10000000149011612,1.0,0.1,0.2502436041831971,1282363.125
6596,534,199735,20000001.0,8.852634722844064,0.0,0.26855537991932266,  0.99247675431387561      ,1.7311731576919556e+33,47.77269744873047,7.775408267974853,41.53200367149934,0.067,1.0,0.10000000149011612,1.0,0.1,0.2502436041831971,1282363.125
6597,534,199735,20000001.0,9.56041270975738,0.0,0.07852348920066003,  0.65889719081705656      ,1.7311731576919556e+33,47.77269744873047,7.775408267974853,41.53200367149934,0.067,1.0,0.10000000149011612,1.0,0.1,0.2502436041831971,1282363.125
6598,534,199735,20000001.0,9.980376348843697,0.0,0.09932072464647342,  0.71279776512347803      ,1.7311731576919556e+33,47.77269744873047,7.775408267974853,41.53200367149934,0.067,1.0,0.10000000149011612,1.0,0.1,0.2502436041831971,1282363.125
6599,535,199882,20000001.0,0.1152666390636556,1935.9297448255882,1941.6173935833167,   2.7753974810167561      ,2.568361282348633e+33,43.5910530090332,6.129436492919922,89.34168412879644,0.12,1.0,0.10000000149011612,1.0,0.1,0.11471833288669585,8669700.0
